"annee" "mois" "co2" "t2Reykjavik" "t2Oslo" "t2Paris" "t2NewYork" "t2Tunis" "t2Alger" "t2Beyrouth" "t2Atlan" "t2Dakar"
"1" 1982 1 341.126 -5.44856774193545 -9.31565161290325 4.37796774193549 -5.81236451612898 15.7368032258064 13.6600903225807 15.0308387096774 20.8108741935484 24.6270258064516
"2" 1982 2 341.8475 0.252635714285759 -2.91548214285712 6.38400357142859 -0.17229285714285 14.726625 13.102425 13.0608071428571 20.5406642857143 22.3272107142857
"3" 1982 3 342.905 -0.668829032258031 2.99817741935482 8.90501935483877 2.39806774193545 15.4107967741936 14.8589129032259 14.9256774193548 21.0485806451612 23.2334483870968
"4" 1982 4 344.11 3.09940333333333 7.71201666666673 12.2186333333334 6.77970666666675 17.5413266666667 16.69375 19.1115166666666 20.7381166666667 23.9710766666666
"5" 1982 5 344.542 5.30712580645161 11.7321258064516 16.3921774193549 14.8778161290323 21.4376032258064 20.0889419354838 21.2914225806451 22.7229032258064 24.3333
"6" 1982 6 343.7125 10.5072033333333 16.4484233333333 20.6462733333333 18.12595 27.9886533333334 26.7865933333333 24.0237466666667 24.23769 26.8354333333334
"7" 1982 7 342.175 10.7372096774193 21.1784838709677 22.8440451612904 22.1154548387097 31.3975838709677 30.7490161290323 25.5445387096774 25.1650322580646 28.1514
"8" 1982 8 340.024 9.6266806451614 19.2928322580646 20.3244322580645 19.5950064516129 29.7312967741936 28.3826774193549 26.5773258064517 25.6438677419355 28.3423580645162
"9" 1982 9 338.19 5.21209666666664 13.55397 21.12481 16.3139133333333 27.3223933333334 25.3454066666667 26.1992266666666 25.1890300000001 29.59631
"10" 1982 10 338.508 3.50340645161293 6.11781935483867 12.669064516129 10.3371870967743 23.6052064516129 20.1867 24.4392161290323 25.2947774193548 29.8808806451613
"11" 1982 11 339.6475 -2.78548666666671 2.33553000000006 9.54381000000001 6.88567999999998 18.4948466666668 16.3176766666666 18.3619666666668 23.9749166666667 28.55384
"12" 1982 12 341.0375 -4.87333225806447 -3.11851612903223 5.27900000000011 4.34836774193542 14.4728290322581 11.8844870967742 15.1213806451614 22.3574967741935 24.0049483870969
"13" 1983 1 341.762 -5.58759999999995 0.283087096774125 6.96369354838714 -0.596467741935442 14.066664516129 13.3449870967742 12.081570967742 21.1103516129033 24.5150741935485
"14" 1983 2 342.8525 -0.022853571428584 -3.58362857142851 3.52902499999999 -0.703510714285756 14.3749785714286 12.2099785714286 13.1019714285714 20.7055535714286 24.660575
"15" 1983 3 343.95 -2.0188 2.46975806451616 8.60351612903236 4.15061935483874 15.8898903225807 15.1898870967742 15.1726709677419 20.4878387096775 25.3153483870968
"16" 1983 4 345.29 -0.564313333333359 6.08606333333336 11.0351033333334 8.20661999999999 19.0838166666667 18.4361533333333 18.1905066666666 21.0910166666667 24.27556
"17" 1983 5 345.93 6.15446129032262 11.2463967741937 13.8565967741936 13.9371806451613 22.3198580645162 20.9507322580645 21.6547451612904 21.885935483871 25.0262129032258
"18" 1983 6 345.4575 8.00917666666675 16.6494233333333 20.6396566666667 19.93288 25.6741100000001 25.6038866666666 24.4199966666667 23.82946 27.68907
"19" 1983 7 343.792 9.39685806451615 20.6926032258065 25.940135483871 23.0664193548387 30.3129870967742 30.1055258064517 26.8316774193548 24.6500516129033 28.7186032258065
"20" 1983 8 342.0425 8.88255806451616 20.4894741935485 22.8018709677418 21.8738709677419 29.052935483871 27.5280000000001 27.1419032258065 25.0582645161291 28.7067290322582
"21" 1983 9 340.075 6.54517666666669 12.9964433333333 18.3766433333334 17.2576333333333 26.8713433333335 26.7404999999999 26.0476499999999 25.7013033333334 29.3898666666668
"22" 1983 10 340.414 2.31568709677424 8.22962903225812 14.1628419354839 11.0837741935484 22.5609903225807 22.5455419354838 23.3311096774194 25.049029032258 30.5752451612903
"23" 1983 11 341.68 -0.587163333333308 1.80265000000003 8.90477666666663 5.62352666666663 19.0968633333334 18.3846766666667 21.2580033333333 23.4108033333334 29.63971
"24" 1983 12 343.115 -3.24611290322582 -1.84186774193552 5.44995483870974 -0.699877419354777 15.2832709677419 13.7937000000001 17.6847838709677 21.9047612903225 26.1155903225807
"25" 1984 1 344.118 -7.96329677419351 -6.69222580645163 5.54586129032253 -4.25901290322577 14.715535483871 12.4990451612903 15.3996193548388 21.3578870967742 22.9463387096775
"26" 1984 2 344.83 -2.19628275862061 -2.70693448275858 4.85920689655177 1.67717931034485 13.3795034482758 11.7210655172414 16.4731413793103 20.1133586206897 24.3395655172414
"27" 1984 3 345.57 0.540535483871054 0.0362999999999829 7.58976774193553 -0.490774193548361 15.1877354838709 12.9944161290323 16.5768548387097 20.2220483870968 22.9179774193548
"28" 1984 4 347.62 2.89725666666669 7.75240666666667 13.1850066666667 7.73415666666671 17.6751766666666 18.0820333333332 17.7160866666667 21.0950533333333 24.2411799999999
"29" 1984 5 347.42 5.76937419354846 13.8770580645161 12.4608193548387 14.3257580645162 21.6536032258064 17.4829774193549 22.1219548387097 21.9417806451613 26.1880806451613
"30" 1984 6 346.955 10.2935533333334 16.41684 18.8225633333333 20.7371966666667 25.08977 24.11649 24.2147266666668 23.0397466666667 27.44927
"31" 1984 7 345.432 12.0653290322581 18.9959677419355 21.7434161290324 21.7733580645161 28.8658 29.5928161290323 26.1077774193548 24.3208258064516 27.995935483871
"32" 1984 8 343.0175 10.5693096774194 18.8340548387096 21.1208677419355 22.126935483871 28.0460161290322 27.5252096774194 26.5427419354839 25.0500290322581 29.1059129032258
